dataProduct,measurementID,measurement_name,units
DP1.00001.001,wind_direction_elevational_variance,Wind Direction; Elevational Variance,degreesSquared
DP1.00001.001,wind_direction_mean,Wind Direction; Mean,degree
DP1.00001.001,wind_direction_temporal_variance,Wind Direction; Temporal Variance,degreesSquared
DP1.00001.001,wind_speed_elevational_variance,Wind Speed; Elevational Variance,metersPerSecondSquared
DP1.00001.001,wind_speed_maximum,Wind Speed; Maximum,metersPerSecond
DP1.00001.001,wind_speed_mean,Wind Speed; Mean,metersPerSecond
DP1.00001.001,wind_speed_minimum,Wind Speed; Minimum,metersPerSecond
DP1.00001.001,wind_speed_temporal_variance,Wind Speed; Temporal Variance,metersPerSecondSquared
DP1.00002.001,temperature_air_elevational_variance,Temperature; Air; Elevational Variance,celsiusSquared
DP1.00002.001,temperature_air_maximum,Temperature; Air; Maximum,celsius
DP1.00002.001,temperature_air_mean,Temperature; Air; Mean,celsius
DP1.00002.001,temperature_air_minimum,Temperature; Air; Minimum,celsius
DP1.00002.001,temperature_air_temporal_variance,Temperature; Air; Temporal Variance,celsiusSquared
DP1.00004.001,barometric_pressure_maximum,Barometric Pressure; Maximum,kilopascal
DP1.00004.001,barometric_pressure_mean,Barometric Pressure; Mean,kilopascal
DP1.00004.001,barometric_pressure_minimum,Barometric Pressure; Minimum,kilopascal
DP1.00004.001,barometric_pressure_temporal_variance,Barometric Pressure; Temporal Variance,kilopascalsSquared
DP1.00005.001,temperature_infrared_elevational_variance,Temperature; Infrared; Elevational Variance,celsiusSquared
DP1.00005.001,temperature_infrared_maximum,Temperature; Infrared; Maximum,celsius
DP1.00005.001,temperature_infrared_mean,Temperature; Infrared; Mean,celsius
DP1.00005.001,temperature_infrared_minimum,Temperature; Infrared; Minimum,celsius
DP1.00005.001,temperature_infrared_temporal_variance,Temperature; Infrared; Temporal Variance,celsiusSquared
DP1.00013.001,ammonium_concentration_precipitation,Ammonium Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,bromide_concentration_precipitation,Bromide Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,calcium_concentration_precipitation,Calcium Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,chloride_concentration_precipitation,Chloride Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,conductivity_precipitation,Conductivity; Precipitation,microsiemensPerCentimeter
DP1.00013.001,magnesium_concentration_precipitation,Magnesium Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,nitrate_concentration_precipitation,Nitrate Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,ph_precipitation,pH; Precipitation,pH
DP1.00013.001,phosphate_concentration_precipitation,Phosphate Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,potassium_concentration_precipitation,Potassium Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,sodium_concentration_precipitation,Sodium Concentration; Precipitation,milligramsPerLiter
DP1.00013.001,sulfate_concentration_precipitation,Sulfate Concentration; Precipitation,milligramsPerLiter
DP1.00017.001,particulate_matter_le_1_um_concentration,Particulate Matter ? 1 µm Concentration,milligramsPerCubicMeter
DP1.00017.001,particulate_matter_le_10_um_concentration,Particulate Matter ? 10 µm Concentration,milligramsPerCubicMeter
DP1.00017.001,particulate_matter_le_15_um_concentration,Particulate Matter ? 15 µm Concentration,milligramsPerCubicMeter
DP1.00017.001,particulate_matter_le_25_um_concentration,Particulate Matter ? 2.5 µm Concentration,milligramsPerCubicMeter
DP1.00017.001,particulate_matter_le_4_um_concentration,Particulate Matter ? 4 µm Concentration,milligramsPerCubicMeter
DP1.00023.001,longwave_radiation_incoming_maximum,Longwave Radiation; Incoming; Maximum,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_incoming_mean,Longwave Radiation; Incoming; Mean,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_incoming_minimum,Longwave Radiation; Incoming; Minimum,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_incoming_temporal_variance,Longwave Radiation; Incoming; Temporal Variance,wattsPerSquareMeterSquared
DP1.00023.001,longwave_radiation_outgoing_maximum,Longwave Radiation; Outgoing; Maximum,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_outgoing_mean,Longwave Radiation; Outgoing; Mean,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_outgoing_minimum,Longwave Radiation; Outgoing; Minimum,wattsPerSquareMeter
DP1.00023.001,longwave_radiation_outgoing_temporal_variance,Longwave Radiation; Outgoing; Temporal Variance,wattsPerSquareMeterSquared
DP1.00023.001,shortwave_radiation_incoming_maximum,Shortwave Radiation; Incoming; Maximum,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_incoming_mean,Shortwave Radiation; Incoming; Mean,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_incoming_minimum,Shortwave Radiation; Incoming; Minimum,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_incoming_temporal_variance,Shortwave Radiation; Incoming; Temporal Variance,wattsPerSquareMeterSquared
DP1.00023.001,shortwave_radiation_outgoing_maximum,Shortwave Radiation; Outgoing; Maximum,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_outgoing_mean,Shortwave Radiation; Outgoing; Mean,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_outgoing_minimum,Shortwave Radiation; Outgoing; Minimum,wattsPerSquareMeter
DP1.00023.001,shortwave_radiation_outgoing_temporal_variance,Shortwave Radiation; Outgoing; Temporal Variance,wattsPerSquareMeterSquared
DP1.00024.001,photosynthetically_active_radiation_incoming_elevational_variance,Photosynthetically Active Radiation; Incoming; Elevational Variance,micromolesPerSquareMeterPerSecondSquared
DP1.00024.001,photosynthetically_active_radiation_incoming_maximum,Photosynthetically Active Radiation; Incoming; Maximum,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_incoming_mean,Photosynthetically Active Radiation; Incoming; Mean,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_incoming_minimum,Photosynthetically Active Radiation; Incoming; Minimum,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_incoming_temporal_variance,Photosynthetically Active Radiation; Incoming; Temporal Variance,micromolesPerSquareMeterPerSecondSquared
DP1.00024.001,photosynthetically_active_radiation_outgoing_maximum,Photosynthetically Active Radiation; Outgoing; Maximum,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_outgoing_mean,Photosynthetically Active Radiation; Outgoing; Mean,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_outgoing_minimum,Photosynthetically Active Radiation; Outgoing; Minimum,micromolesPerSquareMeterPerSecond
